timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1471024800,Aug 12 2016 - 6:00pm,complete,13122,Bastia,PSG,N/A,1,0.00,0.00,1.32,2.21,0,1,1,0,0,0,"","73",2,6,3,0,3,0,1,2,1,2,11,8,2,5,9,3,13,16,36,64,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.97,4.21,1.55,0.00,0.00,0.00,0.00,0.00,0.00,Stade Armand-Césari
1471026600,Aug 12 2016 - 6:30pm,complete,8019,Monaco,Guingamp,N/A,1,0.00,0.00,2.74,0.58,2,2,4,2,0,2,"71,84","29,37",8,2,3,0,4,0,1,2,2,2,12,7,3,4,9,3,13,14,66,34,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.87,6.23,0.00,0.00,0.00,0.00,0.00,0.00,Stade Louis II. (Monaco)
1471100400,Aug 13 2016 - 3:00pm,complete,34212,Bordeaux,Saint-Étienne,N/A,1,0.00,0.00,1.74,1.05,3,2,5,1,1,0,"13,57,72","81,89",3,6,1,0,2,0,0,1,1,1,11,7,5,5,6,2,9,21,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.51,3.11,3.27,0.00,0.00,0.00,0.00,0.00,0.00,Stade Matmut-Atlantique
1471111200,Aug 13 2016 - 6:00pm,complete,10389,Montpellier,Angers SCO,N/A,1,0.00,0.00,1.53,0.89,1,0,1,1,1,0,"8","",7,2,1,0,2,0,0,1,2,0,11,9,3,2,8,7,9,11,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.08,3.15,4.41,0.00,0.00,0.00,0.00,0.00,0.00,Stade de la Mosson
1471111200,Aug 13 2016 - 6:00pm,complete,9236,Dijon,Nantes,N/A,1,0.00,0.00,1.42,1.21,0,1,1,0,0,0,"","48",-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.57,3.05,3.25,0.00,0.00,0.00,0.00,0.00,0.00,Stade Gaston-Gérard
1471111200,Aug 13 2016 - 6:00pm,complete,16920,Caen,Lorient,N/A,1,0.00,0.00,1.21,0.58,3,2,5,4,2,2,"32,43,87","5,19",10,2,1,0,2,1,0,1,2,1,10,6,5,3,5,3,12,9,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.22,3.85,0.00,0.00,0.00,0.00,0.00,0.00,Stade Michel d'Ornano
1471111200,Aug 13 2016 - 6:00pm,complete,17174,Metz,Lille,N/A,1,0.00,0.00,1.47,1.16,3,2,5,1,0,1,"56,76,88","35,70",4,4,2,0,2,0,1,1,1,1,5,15,2,7,3,8,13,8,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.47,3.09,2.42,0.00,0.00,0.00,0.00,0.00,0.00,Stade Saint-Symphorien
1471179600,Aug 14 2016 - 1:00pm,complete,18885,Nancy,Olympique Lyonnais,N/A,1,0.00,0.00,1.26,1.47,0,3,3,2,0,2,"","33,44,90'2",4,4,4,0,2,0,3,1,2,0,9,5,3,5,6,0,18,13,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.25,2.14,0.00,0.00,0.00,0.00,0.00,0.00,Stade Marcel-Picot (Tomblaine)
1471186800,Aug 14 2016 - 3:00pm,complete,19075,Nice,Rennes,N/A,1,0.00,0.00,2.42,0.74,1,0,1,0,0,0,"60","",4,8,0,0,1,0,0,0,1,0,5,13,0,6,5,7,10,9,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.39,3.14,3.47,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Riviera
1471200300,Aug 14 2016 - 6:45pm,complete,37364,Olympique Marseille,Toulouse,N/A,1,0.00,0.00,2.26,0.74,0,0,0,0,0,0,"","",9,6,3,0,1,0,1,2,0,1,6,7,2,3,4,4,14,13,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.42,4.69,0.00,0.00,0.00,0.00,0.00,0.00,Stade Vélodrome (Marseille)
1471632300,Aug 19 2016 - 6:45pm,complete,41171,Olympique Lyonnais,Caen,N/A,2,0.00,0.00,1.95,0.74,2,0,2,1,1,0,"31,90'6","",13,3,3,0,4,0,0,3,2,2,13,6,8,2,5,4,17,12,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.80,8.23,0.00,0.00,0.00,0.00,0.00,0.00,Groupama Stadium
1471705200,Aug 20 2016 - 3:00pm,complete,25908,Nantes,Monaco,N/A,2,0.00,0.00,1.47,2.26,0,1,1,1,0,1,"","25",10,3,2,0,4,0,0,2,1,3,6,6,3,3,3,3,14,18,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.06,2.99,0.00,0.00,0.00,0.00,0.00,0.00,Stade de la Beaujoire - Louis Fonteneau
1471716000,Aug 20 2016 - 6:00pm,complete,10248,Lorient,Bastia,N/A,2,0.00,0.00,1.32,0.53,0,3,3,2,0,2,"","25,38,81",2,5,2,2,4,0,1,3,3,1,10,13,7,7,3,6,13,10,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.45,4.95,0.00,0.00,0.00,0.00,0.00,0.00,Stade Yves Allainmat - Le Moustoir
1471716000,Aug 20 2016 - 6:00pm,complete,25548,Lille,Dijon,N/A,2,0.00,0.00,1.26,0.53,1,0,1,0,0,0,"87","",6,5,1,0,2,0,0,1,1,1,10,7,3,3,7,4,10,13,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.66,6.34,0.00,0.00,0.00,0.00,0.00,0.00,Stade Pierre-Mauroy
1471716000,Aug 20 2016 - 6:00pm,complete,19256,Toulouse,Bordeaux,N/A,2,0.00,0.00,1.58,1.37,4,1,5,2,2,0,"3,9,67,82","90",3,6,1,0,4,1,1,0,1,4,7,5,2,2,5,3,18,14,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.28,3.27,3.56,0.00,0.00,0.00,0.00,0.00,0.00,Stadium Municipal (Toulouse)
1471716000,Aug 20 2016 - 6:00pm,complete,10142,Angers SCO,Nice,N/A,2,0.00,0.00,1.53,1.68,0,1,1,1,0,1,"","4",10,3,1,0,2,0,1,0,0,2,16,9,8,5,8,4,9,8,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.49,3.09,3.34,0.00,0.00,0.00,0.00,0.00,0.00,Stade Raymond Kopa (Angers)
