timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1598029200,Aug 21 2020 - 5:00pm,complete,N/A,Bordeaux,Nantes,Benoît Bastien,1,0.00,0.00,1.32,1.21,0,0,0,0,0,0,"","",2,3,2,1,3,0,1,2,1,2,8,7,3,2,5,5,10,15,43,57,0.00,0.00,0.89,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.00,3.30,1.59,2.85,5.80,12.00,2.25,1.56,Stade Matmut-Atlantique (Bordeaux)
1598108400,Aug 22 2020 - 3:00pm,complete,4102,Dijon,Angers SCO,Eric Wattellier,1,0.00,0.00,0.47,1.21,0,1,1,1,0,1,"","22",3,9,0,0,0,0,0,0,0,0,12,13,2,4,10,9,12,4,53,47,0.00,0.00,1.14,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.10,2.40,1.51,2.60,5.15,10.50,2.15,1.62,Stade Gaston-Gérard (Dijon)
1598122800,Aug 22 2020 - 7:00pm,complete,3975,Lille,Rennes,Clément Turpin,1,0.00,0.00,1.95,1.42,1,1,2,1,1,0,"40","74",4,2,0,1,1,1,1,0,1,1,6,15,2,3,4,12,12,17,51,49,0.00,0.00,0.77,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.25,3.65,1.43,2.35,4.45,8.75,1.95,1.71,Stade Pierre-Mauroy (Villeneuve d'Ascq)
1598180400,Aug 23 2020 - 11:00am,complete,2933,Monaco,Reims,François Letexier,1,0.00,0.00,2.16,1.16,2,2,4,3,1,2,"45'2,55","5,21",8,1,1,0,3,0,0,1,1,2,26,12,7,4,19,8,7,12,76,24,0.00,0.00,2.68,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.55,4.35,1.40,2.25,4.25,8.25,2.00,1.69,Stade Louis II (Monaco)
1598187600,Aug 23 2020 - 1:00pm,complete,5000,Lorient,Strasbourg,Johan Hamel,1,0.00,0.00,1.68,1.32,3,1,4,1,0,1,"51,60,87","30",6,1,3,0,2,0,0,3,1,1,10,9,7,3,3,6,13,8,49,51,0.00,0.00,1.42,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.15,3.10,1.42,2.30,4.35,8.50,1.91,1.80,Stade Yves Allainmat - Le Moustoir (Lorient)
1598187600,Aug 23 2020 - 1:00pm,complete,2026,Nîmes,Brest,Jérémie Pignard,1,0.00,0.00,0.74,0.68,4,0,4,2,2,0,"8,31,69,84","",4,4,2,0,3,1,2,0,1,3,13,14,6,4,7,10,15,17,44,56,0.00,0.00,1.55,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.35,3.35,1.34,2.05,3.75,7.25,1.80,1.87,Stade des Costières (Nîmes)
1598194800,Aug 23 2020 - 3:00pm,complete,0,Nice,Lens,Jérôme Miguelgorry,1,0.00,0.00,1.26,1.53,2,1,3,2,1,1,"23,75","11",1,7,2,0,3,0,2,0,1,2,5,19,3,5,2,14,17,18,57,43,0.00,0.00,0.70,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.30,3.85,1.36,2.10,3.90,7.50,1.83,1.83,Allianz Riviera (Nice)
1598641200,Aug 28 2020 - 7:00pm,complete,4500,Olympique Lyonnais,Dijon,Benoît Millot,2,0.00,0.00,1.89,0.63,4,1,5,4,3,1,"39,45,45'1,66","14",13,2,3,0,3,0,0,3,2,1,24,5,8,2,16,3,10,5,64,36,0.00,0.00,2.74,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,6.30,12.00,1.18,1.61,2.55,4.45,2.20,1.59,Groupama Stadium (Décines-Charpieu)
1598713200,Aug 29 2020 - 3:00pm,complete,4100,Rennes,Montpellier,Willy Delajod,2,0.00,0.00,1.63,1.53,2,1,3,1,1,0,"22,77","90'1",2,1,3,1,2,1,0,4,2,1,14,11,6,3,8,8,17,14,66,34,0.00,0.00,1.57,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.45,4.35,1.42,2.30,4.35,8.50,2.05,1.69,Roazhon Park (Rennes)
1598727600,Aug 29 2020 - 7:00pm,complete,0,Strasbourg,Nice,Jérôme Brisard,2,0.00,0.00,0.89,1.47,0,2,2,1,0,1,"","37,59",3,1,2,0,6,0,1,1,6,0,7,4,0,3,7,1,13,12,44,56,0.00,0.00,0.76,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.40,3.60,1.33,2.05,3.65,7.00,1.80,1.87,Stade de la Meinau (Strasbourg)
1598785200,Aug 30 2020 - 11:00am,complete,4000,Reims,Lille,Stéphanie Frappart,2,0.00,0.00,1.05,2.42,0,1,1,1,0,1,"","32",1,2,4,0,1,0,1,3,1,0,5,10,0,4,5,6,15,11,50,50,0.00,0.00,0.75,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.00,2.65,1.49,2.50,4.95,10.00,2.05,1.67,Stade Auguste-Delaune II (Reims)
1598792400,Aug 30 2020 - 1:00pm,complete,4000,Angers SCO,Bordeaux,Karim Abed,2,0.00,0.00,1.11,1.05,0,2,2,2,0,2,"","25,27",5,7,1,0,3,0,0,1,1,2,14,8,5,7,9,1,12,13,57,43,0.00,0.00,1.71,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.10,3.50,1.53,2.65,5.25,10.75,2.15,1.61,Stade Raymond-Kopa (Angers)
1598792400,Aug 30 2020 - 1:00pm,complete,4463,Metz,Monaco,Jeremy Stinat,2,0.00,0.00,1.05,1.95,0,1,1,1,0,1,"","22",10,1,0,0,4,1,0,0,3,2,16,4,7,3,9,1,13,16,54,46,0.00,0.00,2.01,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.70,1.95,1.30,1.95,3.40,6.60,1.80,1.87,Stade Saint-Symphorien (Longeville-lès-Metz)
1598792400,Aug 30 2020 - 1:00pm,complete,4069,Nantes,Nîmes,Hakim Ben El Hadj,2,0.00,0.00,0.89,1.11,2,1,3,2,2,0,"11,27","57",4,8,2,2,2,0,1,3,2,0,8,19,5,8,3,11,17,6,33,67,0.00,0.00,1.06,2.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.35,4.00,1.36,2.10,3.85,7.50,1.87,1.83,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1598792400,Aug 30 2020 - 1:00pm,complete,3050,Saint-Étienne,Lorient,Florent Batta,2,0.00,0.00,1.11,0.53,2,0,2,1,1,0,"19,51","",2,5,2,0,1,0,1,1,1,0,13,9,5,2,8,7,11,13,52,48,0.00,0.00,1.60,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.25,3.25,1.38,2.15,4.00,7.75,1.87,1.83,Stade Geoffroy-Guichard (Saint-Ètienne)
1598814000,Aug 30 2020 - 7:00pm,complete,5000,Brest,Olympique Marseille,Amaury Delerue,2,0.00,0.00,1.47,1.32,2,3,5,3,1,2,"45'1,89","20,27,80",10,2,2,0,4,0,0,2,3,1,19,9,5,6,14,3,19,15,58,42,0.00,0.00,2.03,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.60,2.00,1.32,2.00,3.60,6.95,1.83,1.83,Stade Francis-Le Blé (Brest)
1599764400,Sep 10 2020 - 7:00pm,complete,N/A,Lens,PSG,Hakim Ben El Hadj,2,0.00,0.00,1.47,2.21,1,0,1,0,0,0,"57","",4,2,2,0,2,0,1,1,1,1,9,8,5,0,4,8,21,11,21,79,0.00,0.00,1.11,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.80,4.00,1.71,1.27,1.87,3.20,6.00,1.80,1.87,Stade Bollaert-Delelis (Lens)
1599850800,Sep 11 2020 - 7:00pm,complete,4428,Bordeaux,Olympique Lyonnais,Ruddy Buquet,3,1.00,0.00,1.32,2.11,0,0,0,0,0,0,"","",4,5,2,0,3,0,0,2,2,1,6,23,0,5,6,18,12,18,45,55,0.89,0.00,0.71,2.25,0.00,0,0,0,0,0,0,0,0,0,2.00,4.00,4.55,3.55,1.87,1.32,2.00,3.55,6.85,1.83,1.83,Stade Matmut-Atlantique (Bordeaux)
1599922800,Sep 12 2020 - 3:00pm,complete,N/A,Montpellier,Nice,Antony Gautier,3,0.00,3.00,1.32,1.47,3,1,4,1,1,0,"18,50,64","69",8,9,0,0,2,0,0,0,1,1,19,11,11,2,8,9,19,16,37,63,0.00,0.73,2.31,1.07,1.00,0,50,0,0,0,0,50,0,50,1.00,6.00,2.05,3.40,3.80,1.34,2.05,3.70,7.00,1.80,1.87,Stade de la Mosson (Montpellier)
1599937200,Sep 12 2020 - 7:00pm,complete,N/A,Saint-Étienne,Strasbourg,Eric Wattellier,3,3.00,0.00,1.11,1.32,2,0,2,0,0,0,"57,82","",6,3,1,0,3,0,1,0,2,1,11,11,5,5,6,6,11,20,48,52,1.60,1.05,1.34,1.32,3.00,50,100,50,50,0,0,100,50,100,3.00,4.00,2.10,3.25,3.90,1.41,2.25,4.25,8.25,1.95,1.77,Stade Geoffroy-Guichard (Saint-Ètienne)
1599994800,Sep 13 2020 - 11:00am,complete,N/A,Lille,Metz,Jérémie Pignard,3,1.00,0.00,1.95,1.42,1,0,1,0,0,0,"88","",8,3,4,0,4,0,1,3,3,1,13,5,7,2,6,3,12,14,61,39,0.77,0.00,1.73,0.70,1.00,50,50,0,0,0,0,50,0,50,4.00,2.00,1.61,3.65,6.65,1.49,2.50,4.95,10.00,2.45,1.48,Stade Pierre-Mauroy (Villeneuve d'Ascq)
1600002000,Sep 13 2020 - 1:00pm,complete,5348,Angers SCO,Reims,Benoît Bastien,3,0.00,1.00,1.11,1.16,1,0,1,0,0,0,"55","",1,2,3,1,2,1,1,3,1,2,18,8,8,3,10,5,12,12,57,43,1.71,1.19,2.06,0.88,3.00,50,100,50,50,0,100,100,0,50,6.00,4.00,2.35,3.00,3.55,1.57,2.80,5.65,11.75,2.25,1.57,Stade Raymond-Kopa (Angers)
