timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1282329000,Aug 20 2010 - 6:30pm,complete,N/A,Bayern München,Wolfsburg,Thorsten Kinhöfer,1,0.00,0.00,2.41,1.00,2,1,3,1,1,0,"9,90'1","55",9,3,1,0,3,0,1,0,1,2,18,12,6,6,12,6,6,25,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena (München)
1282397400,Aug 21 2010 - 1:30pm,complete,N/A,Hoffenheim,Werder Bremen,Günter Perl,1,0.00,0.00,1.53,1.00,4,1,5,5,4,1,"20,37,41,43","4",5,5,1,0,2,0,0,1,1,1,11,11,8,3,3,8,24,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PreZero Arena (Sinsheim)
1282397400,Aug 21 2010 - 1:30pm,complete,N/A,Borussia M'gladbach,Nürnberg,Peter Gagelmann,1,0.00,0.00,1.06,1.06,1,1,2,2,1,1,"31","15",6,5,0,0,1,0,0,0,0,1,13,11,6,6,7,5,15,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK (Mönchengladbach)
1282397400,Aug 21 2010 - 1:30pm,complete,N/A,Köln,Kaiserslautern,Felix Brych,1,0.00,0.00,2.06,1.29,1,3,4,1,1,0,"8","70,84,88",5,6,1,1,2,0,1,1,1,1,11,18,5,7,6,11,10,25,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion (Köln)
1282397400,Aug 21 2010 - 1:30pm,complete,N/A,Freiburg,St. Pauli,Jochen Drees,1,0.00,0.00,1.53,0.82,1,3,4,0,0,0,"78","83,89,90'1",3,6,0,0,0,0,0,0,0,0,10,18,4,7,6,11,12,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Schwarzwald-Stadion (Freiburg im Breisgau)
1282397400,Aug 21 2010 - 1:30pm,complete,N/A,Hannover 96,Eintracht Frankfurt,Deniz Aytekin,1,0.00,0.00,2.18,0.88,2,1,3,2,1,1,"21,75","27",2,6,0,0,1,0,0,0,0,1,14,18,8,4,6,14,8,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena (Hannover)
1282408200,Aug 21 2010 - 4:30pm,complete,N/A,Hamburger SV,Schalke 04,Wolfgang Stark,1,0.00,0.00,1.53,0.94,2,1,3,0,0,0,"46,83","80",7,4,2,0,1,1,0,2,0,2,19,14,7,5,12,9,11,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion (Hamburg)
1282483800,Aug 22 2010 - 1:30pm,complete,N/A,Mainz 05,Stuttgart,Manuel Gräfe,1,0.00,0.00,1.53,1.12,2,0,2,1,1,0,"26,47","",5,4,4,0,1,0,3,1,0,1,17,15,6,6,11,9,16,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion am Bruchweg (Mainz)
1282491000,Aug 22 2010 - 3:30pm,complete,N/A,Borussia Dortmund,Bayer Leverkusen,Florian Meyer,1,0.00,0.00,2.35,2.12,0,2,2,2,0,2,"","19,22",8,1,0,0,0,0,0,0,0,0,15,16,7,5,8,11,21,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park (Dortmund)
1282933800,Aug 27 2010 - 6:30pm,complete,N/A,Kaiserslautern,Bayern München,Florian Meyer,2,0.00,0.00,1.41,1.41,2,0,2,2,2,0,"36,37","",7,7,1,1,1,0,1,1,0,1,12,21,3,4,9,17,24,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fritz-Walter-Stadion (Kaiserslautern)
1283002200,Aug 28 2010 - 1:30pm,complete,N/A,Schalke 04,Hannover 96,Markus Schmidt,2,0.00,0.00,1.41,1.35,1,2,3,1,0,1,"82","31,49",15,1,2,0,2,0,0,2,1,1,16,12,6,5,10,7,10,22,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena (Gelsenkirchen)
1283002200,Aug 28 2010 - 1:30pm,complete,N/A,Werder Bremen,Köln,Marco Fritz,2,0.00,0.00,1.41,0.53,4,2,6,3,2,1,"33,36,74,90'1","37,90'3",6,7,1,0,2,0,0,1,1,1,18,12,10,6,8,6,14,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,wohninvest WESERSTADION (Bremen)
1283002200,Aug 28 2010 - 1:30pm,complete,26116,Wolfsburg,Mainz 05,Peter Sippel,2,0.00,0.00,1.24,1.88,3,4,7,4,3,1,"23,27,30","39,48,58,86",5,5,3,0,3,0,1,2,0,3,9,14,5,5,4,9,11,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VOLKSWAGEN ARENA (Wolfsburg)
