timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1312569000,Aug 05 2011 - 6:30pm,complete,N/A,Borussia Dortmund,Hamburger SV,Felix Brych,1,0.00,0.00,2.59,1.18,3,1,4,2,2,0,"17,29,48","79",7,7,1,0,3,0,0,1,1,2,17,8,11,5,6,3,9,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park (Dortmund)
1312637400,Aug 06 2011 - 1:30pm,complete,N/A,Werder Bremen,Kaiserslautern,Günter Perl,1,0.00,0.00,1.65,0.71,2,0,2,0,0,0,"60,81","",6,5,1,0,2,0,0,1,1,1,21,11,14,6,7,5,15,27,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,wohninvest WESERSTADION (Bremen)
1312637400,Aug 06 2011 - 1:30pm,complete,N/A,Hannover 96,Hoffenheim,Thorsten Kinhöfer,1,0.00,0.00,2.18,1.18,2,1,3,3,2,1,"15,30","18",4,5,2,0,2,0,2,0,1,1,8,15,5,6,3,9,14,20,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena (Hannover)
1312637400,Aug 06 2011 - 1:30pm,complete,N/A,Stuttgart,Schalke 04,Wolfgang Stark,1,0.00,0.00,1.94,1.41,3,0,3,1,1,0,"37,56,89","",2,6,1,0,1,0,1,0,0,1,15,16,12,9,3,7,14,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena (Stuttgart)
1312637400,Aug 06 2011 - 1:30pm,complete,N/A,Köln,Wolfsburg,Manuel Gräfe,1,0.00,0.00,1.12,0.71,0,3,3,1,0,1,"","17,85,90'3",7,5,1,1,5,0,1,1,2,3,10,19,7,15,3,4,17,21,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion (Köln)
1312637400,Aug 06 2011 - 1:30pm,complete,N/A,Augsburg,Freiburg,Jochen Drees,1,0.00,0.00,1.47,0.94,2,2,4,0,0,0,"53,81","48,55",5,4,2,0,4,0,2,0,1,3,12,11,9,7,3,4,19,29,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,WWK Arena (Augsburg)
1312648200,Aug 06 2011 - 4:30pm,complete,N/A,Hertha BSC,Nürnberg,Peter Gagelmann,1,0.00,0.00,0.88,1.18,0,1,1,0,0,0,"","80",2,3,2,0,3,0,1,1,1,2,5,13,4,9,1,4,26,26,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin (Berlin)
1312723800,Aug 07 2011 - 1:30pm,complete,N/A,Mainz 05,Bayer Leverkusen,Michael Weiner,1,0.00,0.00,1.41,1.53,2,0,2,1,1,0,"32,86","",7,3,3,0,2,0,1,2,1,1,22,10,6,5,16,5,22,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OPEL ARENA (Mainz)
1312731000,Aug 07 2011 - 3:30pm,complete,N/A,Bayern München,Borussia M'gladbach,N/A,1,0.00,0.00,2.53,1.53,0,1,1,0,0,0,"","62",12,2,0,0,1,0,0,0,0,1,18,9,8,3,10,6,10,11,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena (München)
1313242200,Aug 13 2011 - 1:30pm,complete,N/A,Schalke 04,Köln,Guido Winkmann,2,0.00,0.00,2.35,0.65,5,1,6,2,1,1,"42,47,48,59,85","12",7,2,0,0,3,0,0,0,2,1,19,7,16,3,3,4,18,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena (Gelsenkirchen)
